dept_id|deptName|college
00000000|BOARD OF TRUSTEES| 
00010000|BOT-BRD/TRUSTEES-OFFICE|BOARD OF TRUSTEES
01000000|OFFICE OF PRESIDENT| 
01010000|PR-PRESIDENT'S OFFICE|OFFICE OF PRESIDENT
01020000|PR-OFFICE OF INTERNAL AUDIT|AUDIT AND COMPLANIENCE
02000000|OFFICE OF PROVOST|SENIOR VP-PROVOST
02010000|PV-VICE PRESIDENT'S OFFICE|SENIOR VP-PROVOST
02010100|PV-ADMINISTRATION|SENIOR VP-PROVOST
02010200|PV-ACADEMIC SUPPORT|SENIOR VP-PROVOST
02010201|PV-ACADEMIC PERSONNEL|SENIOR VP-PROVOST
02010202|PV-ACADEMIC SUPPORT SVCS|SENIOR VP-PROVOST
02010203|PV-COMPUTER SUPPORT|SENIOR VP-PROVOST
02010204|PV-LAN SUPPORT SERVICES|SENIOR VP-PROVOST
02010205|PV-RECORDS MANAGMENT|SENIOR VP-PROVOST
02010300|PV-BUDGET OFFICE|SENIOR VP-PROVOST
02010301|PV-EMPLOYEE EDUC PROGRAM|SENIOR VP-PROVOST
02010302|PV-HIGHER EDUC OPPORT PROGRAM|SENIOR VP-PROVOST
02010303|PV-RESERVES|SENIOR VP-PROVOST
02010400|PV-EARLY CHILDHOOD|SENIOR VP-PROVOST
02010500|PV-FACULTY AFFAIRS|SENIOR VP-PROVOST
02010600|PV-INFORMATION TECHNOLOGY|SENIOR VP-PROVOST
02010601|PV-OAA APPLICATION DEVELOP|SENIOR VP-PROVOST
02010700|PV-OMBUDS OFFICE|SENIOR VP-PROVOST
02010800|PV-SENATE CHAIR SUPPORT|SENIOR VP-PROVOST
02010900|PV-SCHOLARSHIPS / AID|SENIOR VP-PROVOST
02010901|PV-ALUMINI FELLOWSHIPS|SENIOR VP-PROVOST
02010902|PV-UNIV SCHOLARS PROGRAM|SENIOR VP-PROVOST
02010903|PV-FINANCIAL AID|SENIOR VP-PROVOST
02010904|PV-ACADEMIC SCHOLARSHIPS|SENIOR VP-PROVOST
02020000|PV-FACULTY DEVELOPMENT|SENIOR VP-PROVOST
02030000|PV-HONORS OFFICE|SENIOR VP-PROVOST
02030100|PV-HONORS SCHOLAR PROGRAMS|SENIOR VP-PROVOST
02040000|PV-AIM PROGRAM|SENIOR VP-PROVOST
02050000|PV-INSTITUTIONAL RESEARCH|SENIOR VP-PROVOST
02060000|PV-WRITING PROGRAM|SENIOR VP-PROVOST
02070000|PV-UNDERGRADUATE STUDIES|SENIOR VP-PROVOST
02070100|PV-OASIS|SENIOR VP-PROVOST
02070200|PV-UPWARD BOUND|SENIOR VP-PROVOST
02070300|PV-CTR FOR UNDERGRAD RESEARCH|SENIOR VP-PROVOST
02070400|PV-INNOVATION ACADEMY|SENIOR VP-PROVOST
02090000|PV-UNIV CTR-EXCELLC IN TEACH|SENIOR VP-PROVOST
02120000|PV-CNTR PRECOLLEGIATE EDUC|SENIOR VP-PROVOST
02120100|PV-CPET SPICE PROGRAM|SENIOR VP-PROVOST
02130000|PV-THE CENTER (LOMBARDI)|SENIOR VP-PROVOST
02140000|PV-INSTITUTE ONLINE LEARNING|SENIOR VP-PROVOST
02140100|PV-INST ONLINE LEARNING GEN|SENIOR VP-PROVOST
03000000|OFFICE ENROLLMENT MANAGEMENT|SENIOR VP-PROVOST
03010000|EM-ENROLLMENT MANAGEMENT ADMIN|SENIOR VP-PROVOST
03010300|EM-ADMINISTRATION PUBLICATIONS|SENIOR VP-PROVOST
03020000|EM-OFFICE OF ADMISSIONS|SENIOR VP-PROVOST
03020100|EM-ADMISSIONS GENERAL|SENIOR VP-PROVOST
03020300|EM-ADMISSIONS PUBLICATIONS|SENIOR VP-PROVOST
03030000|EM-OFFICE OF REGISTRAR|SENIOR VP-PROVOST
03030100|EM-RECORDS|SENIOR VP-PROVOST
