dept_id|deptName
00000000|BOARD OF TRUSTEES
00010000|BOT-BRD/TRUSTEES-OFFICE
01000000|OFFICE OF PRESIDENT
01010000|PR-PRESIDENT'S OFFICE
01020000|PR-OFFICE OF INTERNAL AUDIT
02000000|OFFICE OF PROVOST
02010000|PV-VICE PRESIDENT'S OFFICE
02010100|PV-ADMINISTRATION
02010200|PV-ACADEMIC SUPPORT
02010201|PV-ACADEMIC PERSONNEL
02010202|PV-ACADEMIC SUPPORT SVCS
02010203|PV-COMPUTER SUPPORT
02010204|PV-LAN SUPPORT SERVICES
02010205|PV-RECORDS MANAGMENT
02010300|PV-BUDGET OFFICE
02010301|PV-EMPLOYEE EDUC PROGRAM
02010302|PV-HIGHER EDUC OPPORT PROGRAM
02010303|PV-RESERVES
02010400|PV-EARLY CHILDHOOD
02010500|PV-FACULTY AFFAIRS
02010600|PV-INFORMATION TECHNOLOGY
02010601|PV-OAA APPLICATION DEVELOP
02010700|PV-OMBUDS OFFICE
02010800|PV-SENATE CHAIR SUPPORT
02010900|PV-SCHOLARSHIPS / AID
02010901|PV-ALUMINI FELLOWSHIPS
02010902|PV-UNIV SCHOLARS PROGRAM
02010903|PV-FINANCIAL AID
02010904|PV-ACADEMIC SCHOLARSHIPS
02020000|PV-FACULTY DEVELOPMENT
02030000|PV-HONORS OFFICE
02030100|PV-HONORS SCHOLAR PROGRAMS
02040000|PV-AIM PROGRAM
02050000|PV-INSTITUTIONAL RESEARCH
02060000|PV-WRITING PROGRAM
02070000|PV-UNDERGRADUATE STUDIES
02070100|PV-OASIS
02070200|PV-UPWARD BOUND
02070300|PV-CTR FOR UNDERGRAD RESEARCH
02070400|PV-INNOVATION ACADEMY
02090000|PV-UNIV CTR-EXCELLC IN TEACH
02120000|PV-CNTR PRECOLLEGIATE EDUC
02120100|PV-CPET SPICE PROGRAM
02130000|PV-THE CENTER (LOMBARDI)
02140000|PV-UF ONLINE
02140100|PV-UF ONLINE GEN
02140200|PV-UF ONLINE GOOD LIFE COURSE
03000000|OFFICE ENROLLMENT MANAGEMENT
03010000|EM-ENROLLMENT MANAGEMENT ADMIN
03010300|EM-ADMINISTRATION PUBLICATIONS
03020000|EM-OFFICE OF ADMISSIONS
03020100|EM-ADMISSIONS GENERAL
03020300|EM-ADMISSIONS PUBLICATIONS
03030000|EM-OFFICE OF REGISTRAR
03030100|EM-RECORDS
03030200|EM-ENROLLMENT AND DEGREES
03030300|EM-RECORDS PUBLICATIONS
03040000|EM-DATA PROCESSING
04000000|OFFICE OF STUDENT AFFAIRS
04010000|SA-STUDENT AFFAIRS
04010100|SA-DEVELOPMENT OFFICE
04010200|SA-PROG-MULTICULTURAL SERIES
04010210|SA-INSTITUTE OF BLACK CULTURAL
04010211|SA-INSTITUTE OF HISPANIC-LATIN
04010212|SA-MULTICULTURAL AND DIVERSITY
04010213|SA-LESBIAN GAY BISEXUAL TRANSG
04010214|SA-ASIAN PACIFIC ASSOCIATION
04010215|SA-OFF CAMPUS LIFE
04010216|SA-GATORSHIP
04010217|SA-CTR FOR LEADERSHIP AND SVC
04010300|SA-HEALTH FEE RESERVE
04010400|SA-ACTIVITY/SERVICE FEE RESERV
04010500|SA-VP TRAVEL
04010600|SA-STUDENT HEALTH INSURANCE
04020000|SA-RECREATIONAL SPORTS
04020100|SA-RECSPTS ADMIN
04020101|SA-RECSPTS MANAGEMENT
04020102|SA-RECSPTS MARKETING
04020200|SA-RECSPTS FACILITIES
04020201|SA-RECSPTS FACIL SUPERVISION
04020202|SA-RECSPTS FACIL-LK WAUBURG
04020203|SA-RECSPTS FACIL-AQUATICS
04020204|SA-RECSPTS FACIL-MAINT SERVS
04020300|SA-RECSPTS PROGRAMS
04020301|SA-RECSPTS PGMS-INTRAMURAL
04020302|SA-RECSPTS PGMS-SPORT CLUBS
04020303|SA-RECSPTS PGMS-FIT/WELLNESS
04020400|SA-GATORWELL
04030000|SA-COUNSELING CENTER
04030100|SA-COUNSELING & WELLNESS CTR
04030200|SA-GATORWELL
04040000|SA-CAREER RESOURCE CENTER
04040100|SA-CRC-DIRECTOR
04040200|SA-CRC-INFORMATION SYSTEMS
04040300|SA-CAREER DEVELOPMENT
04040301|SA-CAREER DEVELOPMENT-GEN
04040302|SA-CRC-LIBRARY
04040303|SA-GATOR LAUNCH DIVERSITY
04040304|SA-CREDENTIALS
04040400|SA-CAREER NETWORKS
04040401|SA-CAREER NETWORKS-GENERAL
04040402|SA-EXPERIENTIAL EDUCATION
04040403|SA-CAREER EVENTS
04040404|SA-S.M.I.L.E.S. PROGRAM
04040405|SA-CRC WORKSHOP PROGRAMS
04040500|SA-OPERATIONS SUPPORT
04040501|SA-OPERATIONS SUPPORT-GEN
04040502|SA-PUBLIC RELATIONS
04040503|SA-FACILITIES MANAGEMENT
04040504|SA-PERSONNEL ADMINISTRATION
04050000|SA-DEAN OF STUDENTS
04050100|SA-ADMINISTRATION
04050110|SA-STUDNT FEES FOR NEWELL HALL
04050200|SA-CAMPUS DIPLOMATS
04050300|SA-DISABILITY RESOURCES
04050400|SA-IBC
04050500|SA-IHLC
04050600|SA-GREEK LIFE
04050700|SA-JUDICIAL AFFAIRS
04050800|SA-MULTICULTURAL AFFAIRS
04050900|SA-NEW STUDENT PROGRAMS
04051000|SA-OFF CAMPUS LIFE
04060000|SA-COLLEGIATE LIVING ORG
04070000|SA-STU DEVLP/EXTERNAL AFFAIRS
04080000|SA-STUDENT ACT & INVOLVE
04080100|SA-SAI-ADMIN
04080200|SA-SAI-GREEK LIFE
04080300|SA-SAI-OUTFITTER
04080400|SA-SAI-TRIP
05000000|J WAYNE REITZ UNION
